,Artist,Album Name,Track Name,Key,Tempo,Mode
0,Interpol,Turn On the Bright Lights,Untitled,Ab,92,Major
1,Interpol,Turn On the Bright Lights,Obstacle 1,F,121, Major
2,Interpol,Turn On the Bright Lights,NYC,F,149,Major
3,Interpol,Turn On the Bright Lights,PDA,F#,138,Minor
4,Interpol,Turn On the Bright Lights,Say Hello to the Angels,A,103,Minor
5,Interpol,Turn On the Bright Lights,Hands Away,A,128,Minor
6,Interpol,Turn On the Bright Lights,Obstacle 2,D,116,Major
7,Interpol,Turn On the Bright Lights,Stella Was a Diver and She Was Always Down,F,114,Minor
8,Interpol,Turn On the Bright Lights,Roland,E,146,Minor
9,Interpol,Turn On the Bright Lights,The New,G,113,Minor
10,Interpol,Turn On the Bright Lights,Leif Erikson,G,109,Major
11,Interpol,Antics,Next Exit,C,86,Major
12,Interpol,Antics,Evil,F,129,Major
13,Interpol,Antics,Narc,G,119,Major
14,Interpol,Antics,Take You on a Cruise,D,118,Major
15,Interpol,Antics,Slow Hands,B,141,Minor
16,Interpol,Antics,Not Even Jail,C,125,Minor
17,Interpol,Antics,Public Pervert,F,99,Major
18,Interpol,Antics,C'mere,D,125,Minor
19,Interpol,Antics,Length of Love,Bb,127,Major
20,Interpol,Antics,A Time to Be So Small,D,87,Minor
21,Interpol,Our Love to Admire,Pioneer to the Falls,D,107,Major
22,Interpol,Our Love to Admire,No I in Threesome,C,120,Major
23,Interpol,Our Love to Admire,The Scale,A,96,Minor
24,Interpol,Our Love to Admire,The Heinrich Maneuver,E,137,Minor
25,Interpol,Our Love to Admire,Mammoth,D,134,Major
26,Interpol,Our Love to Admire,Pace Is the Trick,D,111,Minor
27,Interpol,Our Love to Admire,All Fired Up,A,119,Minor
28,Interpol,Our Love to Admire,Rest My Chemistry,B,150,Minor
29,Interpol,Our Love to Admire,Who Do You Think,E,136,Minor
30,Interpol,Our Love to Admire,Wrecking Ball,B,120,Minor
31,Interpol,Our Love to Admire,The Lighthouse,D,145,Minor
32,Interpol,Interpol,Success,G,120,Major
33,Interpol,Interpol,Memory Serves,E,136,Minor
34,Interpol,Interpol,Summer Well,F#,126,Minor
35,Interpol,Interpol,Lights,G,126,Major
36,Interpol,Interpol,Barricade,E,126,Minor
37,Interpol,Interpol,Always Malaise (The Man I Am),Ab,116,Minor
38,Interpol,Interpol,Safe Without,E,85,Minor
39,Interpol,Interpol,Try It On,C,132,Major
40,Interpol,Interpol,All of the Ways,B,79,Minor
41,Interpol,Interpol,The Undoing,B,112,Minor
42,Interpol,El Pintor,All the Rage Back Home,G,85,Major
43,Interpol,El Pintor,My Desire,A,106,Major
44,Interpol,El Pintor,Anywhere,A,135,Minor
45,Interpol,El Pintor,"Same Town, New Story",G,109,Major
46,Interpol,El Pintor,My Blue Supreme,C,103,Major
47,Interpol,El Pintor,Everything Is Wrong,F#,126,Minor
48,Interpol,El Pintor,Breaker 1,A,115,Minor
49,Interpol,El Pintor,Ancient Ways,B,120,Major
50,Interpol,El Pintor,Tidal Wave,Ab,122, Major
51,Interpol,El Pintor,Twice as Hard,D,165,Major
52,Interpol,Marauder,If You Really Love Nothing,A,134,Major
53,Interpol,Marauder,The Rover,G,198, Major
54,Interpol,Marauder,Complications,B,170,Minor
55,Interpol,Marauder,Flight of Fancy,C,133,Major
56,Interpol,Marauder,Stay In Touch,G,114,Major
57,Interpol,Marauder,Interlude 1,Bb,85,Major
58,Interpol,Marauder,Mountain Child,C,129,Major
59,Interpol,Marauder,NYSMAW,B,134,Minor
60,Interpol,Marauder,Surveillance,A,119,Minor
61,Interpol,Marauder,Number 10,Ab,141,Major
62,Interpol,Marauder,Party's Over,G,106,Major
63,Interpol,Marauder,Interlude 2,Bb,63,Major
64,Interpol,Marauder,It Probably Matters,D,96,Minor
65,Interpol,The Other Side Of Make-Believe,Toni,B,117,Minor
66,Interpol,The Other Side Of Make-Believe,Fables,C,144,Major
67,Interpol,The Other Side Of Make-Believe,Into the Night,C,136,Major
68,Interpol,The Other Side Of Make-Believe,Mr.Credit,F#,74,Minor
69,Interpol,The Other Side Of Make-Believe,Something Changed,C,120,Minor
70,Interpol,The Other Side Of Make-Believe,Renegade Hearts,E,125,Minor
71,Interpol,The Other Side Of Make-Believe,Passenger,E,144,Major
72,Interpol,The Other Side Of Make-Believe,Greenwich,G,141,Major
73,Interpol,The Other Side Of Make-Believe,Gran Hotel,G,128,Major
74,Interpol,The Other Side Of Make-Believe,Big Shot City,C,99,Major
75,Interpol,The Other Side Of Make-Believe,Go Easy (Palermo),C,108,Major
